RA,Height,Weight
347333,1.6002,49.4415716
418955,1.6510000000000002,62.5957512
769270,1.6510000000000002,75.7499308
355891,1.5303499999999999,48.9879792
247101,1.45415,43.091278
914657,1.60655,52.6167184
520417,1.5621,47.9673963
810617,1.4986000000000002,45.5860362
270312,1.4795500000000001,44.4520552
241641,1.4732,46.0396286
450212,1.5493999999999999,53.0703108
567948,1.5176500000000002,65.8842961
301703,1.5367000000000002,46.0396286
461450,1.4605000000000001,43.5448704
477287,1.4605000000000001,45.8128324
426428,1.58115,74.3891536
802946,1.4986000000000002,46.1530267
841304,1.4859,47.8539982
652973,1.4795500000000001,42.1840932
351944,1.5875,45.8128324
438981,1.5557500000000002,44.6788514
604080,1.58115,42.6376856
496765,1.56845,43.5448704
294603,1.4986000000000002,37.3079749
396518,1.4414500000000001,39.0089464
700215,1.4859,40.5965198
876384,1.4605000000000001,38.1017616
740885,1.4986000000000002,40.3697236
229312,1.5557500000000002,37.1945768
812625,1.5303499999999999,44.1118609
184215,1.45415,33.4524395
303191,1.6319500000000002,47.1736096
175993,1.41605,30.0504965
693457,1.3843,32.0916623
166427,1.45415,34.8132167
868666,1.50495,35.9471977
751896,1.4859,39.9161312
128453,1.4478,32.6586528
452878,1.3335000000000001,30.5040889
435291,1.36525,29.483506
392176,1.5493999999999999,44.6788514
271349,1.4478,34.9266148
680812,1.4732,54.5444861
696501,1.5875,52.5033203
745728,1.4414500000000001,51.029145
567116,1.6002,51.7095336
933726,1.58115,60.3277892
491295,1.41605,47.8539982
529385,1.5493999999999999,69.9666277
621698,1.6446500000000002,77.3375042
326686,1.49225,58.2866234
865247,1.5493999999999999,45.8128324
774040,1.4224,47.627202
657939,1.61925,53.0703108
738468,1.6637000000000002,80.7394472
917165,1.4732,45.2458419
284118,1.49225,50.4621545
349592,1.5303499999999999,52.9569127
969498,1.5875,61.234974
221709,1.5748,59.8741968
261754,1.42875,47.9673963
158196,1.60655,63.9565284
552970,1.5493999999999999,46.7200172
529008,1.4732,41.2769084
274701,1.4986000000000002,45.35924
190808,1.6637000000000002,57.2660405
508385,1.4224,38.7821502
786510,1.50495,46.9468134
287682,1.3462,29.2567098
603083,1.4224,35.8337996
657226,1.4732,34.9266148
980148,1.5176500000000002,38.555354
727014,1.4605000000000001,40.3697236
137090,1.4605000000000001,36.7409844
477347,1.4224,37.1945768
914239,1.4732,39.4625388
348883,1.46685,36.7409844
986651,1.5875,44.4520552
968436,1.49225,41.6171027
629498,1.49225,39.0089464
586661,1.6002,41.2769084
905112,1.4224,38.1017616
520829,1.4478,38.555354
